Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject
BS007884,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00078,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-17,SAMD00738360,PRJDB17046
BS007885,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00079,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29809,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-17,SAMD00738361,PRJDB17046
BS007886,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00083,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-18,SAMD00738362,PRJDB17046
BS007887,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00085,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-19,SAMD00738363,PRJDB17046
BS007888,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00087,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-19,SAMD00738364,PRJDB17046
BS007889,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00088,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Osaka,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-20,SAMD00738365,PRJDB17046
BS007890,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00090,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-20,SAMD00738366,PRJDB17046
BS007891,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00091,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-20,SAMD00738367,PRJDB17046
BS007892,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00092,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-20,SAMD00738368,PRJDB17046
BS007893,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00093,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Osaka,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-21,SAMD00738369,PRJDB17046
BS007894,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00094,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29804,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-21,SAMD00738370,PRJDB17046
BS007895,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00096,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-21,SAMD00738371,PRJDB17046
BS007896,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00099,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-21,SAMD00738372,PRJDB17046
BS007897,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00101,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-24,SAMD00738373,PRJDB17046
BS007898,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00102,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-24,SAMD00738374,PRJDB17046
BS007899,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00104,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29779,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-24,SAMD00738375,PRJDB17046
BS007900,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00105,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-24,SAMD00738376,PRJDB17046
BS007902,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00108,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-25,SAMD00738378,PRJDB17046
BS007903,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00111,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-25,SAMD00738379,PRJDB17046
BS007904,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00112,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29798,GenBank,complete,,,,Japan:Fukuoka,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-26,SAMD00738380,PRJDB17046
BS007905,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00113,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-27,SAMD00738381,PRJDB17046
BS007906,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00114,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-27,SAMD00738382,PRJDB17046
BS007907,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00115,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-27,SAMD00738383,PRJDB17046
BS007908,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00116,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-27,SAMD00738384,PRJDB17046
BS007909,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00118,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-28,SAMD00738385,PRJDB17046
BS007910,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00120,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-01,SAMD00738386,PRJDB17046
BS007912,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00128,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-03,SAMD00738388,PRJDB17046
BS007913,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00130,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-04,SAMD00738389,PRJDB17046
BS007914,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00133,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hiroshima,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-05,SAMD00738390,PRJDB17046
BS007915,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00134,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-07,SAMD00738391,PRJDB17046
BS007916,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00135,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-07,SAMD00738392,PRJDB17046
BS007917,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00136,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-07,SAMD00738393,PRJDB17046
BS007918,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00137,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-07,SAMD00738394,PRJDB17046
BS007919,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00140,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Kanagawa,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-10,SAMD00738395,PRJDB17046
BS007920,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00142,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-10,SAMD00738396,PRJDB17046
BS007921,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00143,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-10,SAMD00738397,PRJDB17046
BS007922,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00145,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-11,SAMD00738398,PRJDB17046
BS007923,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00147,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Fukuoka,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-12,SAMD00738399,PRJDB17046
BS007924,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00148,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-06-15,SAMD00738400,PRJDB17046
