Accession,Organism_Name,Submitters,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Genotype,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
WAJ07175,Severe acute respiratory syndrome coronavirus 2,"Johnson,E.J., Malone,D., Benoit,J., Willmon,T.M., Griego-Fisher,A.M.",2022-12-06,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NMDOH-2022098393,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2022-06-17
WRI40728,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.",2024-01-04,JN.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NY-CDC-QDX90322458,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2023-12-14
WRQ22095,Severe acute respiratory syndrome coronavirus 2,"Garfin,J., Plumb,M., Pung,K., Namugenyi,S., Mondelli,A., Weber,B., Kunerth,H.D., Evans,D., McKenna,K., Wang,X.",2024-01-11,JN.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MN-MDH-39587,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,2023-12-24
WAM75982,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-12-12,BQ.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-STM-S4VBKNDFP,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-11-23
WVE84431,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-29,AY.39,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-59101,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7096,,ORF1ab polyprotein,USA,USA,,Homo sapiens,,2021-11-24
WCF02513,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2023-01-30,CH.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NY-CDC-QDX45593458,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2023-01-13
QUP19016,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-05-03,P.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-ASC210047804,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: Florida,USA,FL,Homo sapiens,,2021-04-06
UJY85129,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.",2022-01-31,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220121191255,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA,USA,,Homo sapiens,,2022-01-15
QJX70629,Severe acute respiratory syndrome coronavirus 2,"Li,Y., Montmayeur,A., Tao,Y., Queen,K., Zhang,J., Uehara,A., Paden,C.R., Marine,R., Wang,H., Weiner,Z., Bankamp,B., Tong,S.",2020-05-22,B.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,UN-CDC-3088776-001,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,Jamaica,Jamaica,,Homo sapiens,swab,2020-03-11
UJP27429,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-01-25,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-STM-YAB93YXS4,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-01-12
UIT79557,Severe acute respiratory syndrome coronavirus 2,"Freeman,J.S., Lee,B.",2022-01-13,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SC-COVID21-6503,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,"USA: NC, BRUNSWICK",USA,NC,Homo sapiens,oronasopharynx,2021-12-06
UKU06438,Severe acute respiratory syndrome coronavirus 2,"Bodnar,L., Verma,S.K., Filippo,C.S., Ali,M., Pugliese,M.-M., Woell,D., Jeong,B.S.",2022-02-11,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NJ-PHEL-V22007522,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA,USA,,Homo sapiens,,2022-01-31
QVK93485,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2021-05-18,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,ME-CDC-QDX24476864,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: Maine,USA,ME,Homo sapiens,oronasopharynx,2021-04-26
WRW66296,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-19,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-66038,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA,USA,,Homo sapiens,,2022-01-05
UIG15807,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-01-07,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,OH-CDC-ASC210639186,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Ohio,USA,OH,Homo sapiens,,2021-12-22
WGQ50830,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., Fournier,P.-E., La Scola,B.",2023-05-01,AY.42,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-017262,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,France,France,,Homo sapiens,oronasopharynx,2021-07
QXX34290,Severe acute respiratory syndrome coronavirus 2,"Wang,J., Hawken,S., Rubinsteyn,A., Smedberg,J., Rice,C., Hagan,R., Barzin,A., Loftis,A.J., Fiscus,S., Jones,C., Miller,M.",2021-07-26,B.1.1.207,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,JW0315,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: North Carolina,USA,NC,Homo sapiens,,2021-02-22
UGA76224,Severe acute respiratory syndrome coronavirus 2,"Blankenship,H.M., Diana,R., Soehnlen,M.",2021-12-07,B.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MI-MDHHS-SC20534,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Michigan,USA,MI,Homo sapiens,swab,2020-05-14
UFV43397,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-06,AY.14,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MO-CDC-ASC210458669,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Missouri,USA,MO,Homo sapiens,,2021-11-13
UGR98990,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2021-12-12,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-185658,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-12-04
UVV30937,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-08-30,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-QDX40373288,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),4402,,ORF1a polyprotein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-08-15
UFV33970,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-06,AY.25,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,SC-CDC-ASC210455924,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: South Carolina,USA,SC,Homo sapiens,,2021-11-11
UHQ94158,Severe acute respiratory syndrome coronavirus 2,"Domman,D., Morley,V., Schwalm,K., Young,J., Pesko,K., Culbreath,K., Thompson,C., Dinwiddie,D.",2021-12-27,AY.100,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NM-UNM-TC2021188060,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: New Mexico,USA,NM,Homo sapiens,,2021-09-08
UKT92812,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-02-11,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,IN-CDC-ASC210689649,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7092,,ORF1ab polyprotein,USA: Indiana,USA,IN,Homo sapiens,,2022-01-31
UNV11277,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-03-28,BA.1.20,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,OR-CDC-QDX34746786,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: Oregon,USA,OR,Homo sapiens,oronasopharynx,2022-03-09
WAL22057,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-12-09,CQ.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MD-CDC-QDX43842880,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: Maryland,USA,MD,Homo sapiens,oronasopharynx,2022-11-18
UKD97318,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-02-03,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,GA-CDC-LC0493621,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,2022-01-17
WIG84488,Severe acute respiratory syndrome coronavirus 2,"Lima Garay,A.J., Grose,M., Bradley,A., Anderson,J.",2023-06-05,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,2204658,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA,USA,,Homo sapiens,,2022-01-31
UQV49226,Severe acute respiratory syndrome coronavirus 2,"Boyanton,B., Byrum,S.D., Bird,J.T., Thurman,T.J., Kennedy,J.L.",2022-05-19,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,V03777,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: AR,USA,AR,Homo sapiens,oronasopharynx,2022-01-12
UQE53640,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-05-09,BA.2.12,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WI-CDC-QDX36263241,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Wisconsin,USA,WI,Homo sapiens,oronasopharynx,2022-04-22
QUG24425,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2021-04-26,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-QDX23760663,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-04-08
UKV26580,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-02-12,BA.1.20,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,TN-CDC-QDX33163561,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Tennessee,USA,TN,Homo sapiens,oronasopharynx,2022-01-22
USO58783,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-06-26,BA.2.12,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,VA-CDC-QDX37841542,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-06-07
UHE76041,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-20,AY.100,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MN-CDC-ASC210717313,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Minnesota,USA,MN,Homo sapiens,,2021-11-24
UTQ53814,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-07-18,BE.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,TX-CDC-QDX38472308,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-06-25
QRK16446,Severe acute respiratory syndrome coronavirus 2,"Cook,P.W., Howard,D.T., Batra,D., Rambo-Martin,B.L., de Feo,E., Antico,J., Tran,C., Tolentino,M., Wickline,S., Gietzen,K., Sickler,B., Liu,J., Allen,E., Febbo,P., Galloway,S., Washington,N.L., White,S., Levan,G., Barrett,K.S., Cirulli,E., Bolze,A., Ascencio,A., Rivera-Garcia,C., Cho,R., Nguyen,J., Wang,S., Ramirez,J., Cassens,T., Sandoval,E., Isaksson,M., Lee,W., Becker,D., Laurent,M., Lu,J., Paden,C.R., Tong,S., MacCannell,D.",2021-02-10,B.1.375,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-STM-000003505,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-01-18
UOB90045,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-04-03,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,AL-CDC-QDX35083746,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Alabama,USA,AL,Homo sapiens,oronasopharynx,2022-03-20
UPC46412,Severe acute respiratory syndrome coronavirus 2,"Levasseur,A.",2022-04-19,B.1.160.30,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-037035_Nova1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,France,France,,Homo sapiens,,2020-09-12
QWQ74185,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-06-14,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MO-CDC-ASC210107573,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: Missouri,USA,MO,Homo sapiens,,2021-06-04
UXB61905,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-09-19,BA.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,OH-CDC-QDX41030444,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: Ohio,USA,OH,Homo sapiens,oronasopharynx,2022-09-02
UJQ68659,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2022-01-26,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-241858,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7092,,ORF1ab polyprotein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-01-18
UUT74032,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-08-10,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-QDX39459701,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-07-25
UJI27422,Severe acute respiratory syndrome coronavirus 2,"Gohl,D.M., Garbe,J., Kuriger-Laber,J., Dirkx,C.",2022-01-20,AY.25,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MN-UMGC-30441,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Minnesota,USA,MN,Homo sapiens,,2022-01-07
