Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OX747797,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.2.9,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,3/21/2022
ON925439,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,7/5/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-QDX37011932,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29721,GenBank,complete,,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,5/13/2022
OX962179,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/22/2023,BA.1.17.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/27/2022
OX352347,Severe acute respiratory syndrome coronavirus 2,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,10/20/2022,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,RNA,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,GenBank,complete,,Slovakia,Slovakia,,Homo sapiens,,9/19/2022
OY370992,Severe acute respiratory syndrome coronavirus 2,,Edinburgh,United Kingdom,7/20/2023,BA.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,7/14/2022
OX679687,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.1.1.14,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29879,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/15/2022
OR152122,Severe acute respiratory syndrome coronavirus 2,"Taboada,B., Zarate,S., Garcia-Lopez,R., Munoz-Medina,J.E., Gomez-Gil,B., Herrera-Estrella,A., Sanchez-Flores,A., Salas-Lais,A.G., Roche,B., Martinez-Morales,G., Dominguez Zarate,H., Duque Molina,C., Aviles Hernandez,R., Lopez,S., Arias,C.F., Alvarado-Yaah,J.E., Becerril-Vargas,E., Cabrera-Gaytan,D.A., Corona Armenta,G., Chaidez-Quiroz,C., Dominguez-Zarate,H., Enciso-Ibarra,J., Espinosa-Ayala,G., Fregoso-Rueda,D., Garcia-Gasca,A., Gonzalez,J.P., Gonzalez-Lopez,I., Grande,R., Herrera-Najera,C.I., Jimenez-Moraila,B., Lira-Morales,D., Maldonado-Meza,B.I., Marquez-Rosales,M.G., Martinez-Alvarez,J.C., Martinez-Miguel,B., Martinez-Morales,G.B., Martinez-Rodriguez,C., Mejia-Nepomuceno,F., Mireles-Rivera,M.G., Molina-Salinas,G.M., Montoya-Fuentes,H., Mujica-Sanchez,M., Nunez-Contreras,J., Salinas-Peralta,I.P., Rivas-Santiago,B.T., Rosales-Rivera,M., Salas-Hernandez,J., Santacruz-Tinoco,C.E., Selem-Mojica,N., Vazquez,G., Vazquez-Perez,J.A.","Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular",Mexico,6/21/2023,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,YUC_8013,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29787,GenBank,complete,,Mexico,Mexico,,Homo sapiens,,6/17/2022
OM195953,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/10/2022,BA.1.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,GA-CDC-STM-49FJGTUY5,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,12/28/2021
ON276058,Severe acute respiratory syndrome coronavirus 2,"Levasseur,A.","Aix Marseille University, Aix Marseille University (AMU) - Faculty of Medicine - MEPHI - IHU - APHM",France,4/19/2022,B.1.367,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-039826_Nova1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29702,GenBank,complete,,France,France,,Homo sapiens,,9/3/2020
OY553331,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/28/2023,BA.1.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,2/16/2022
OX948853,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/21/2023,BA.2.23,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29850,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,3/12/2022
OM178235,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/7/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-FG-205111,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29795,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,12/20/2021
OR272547,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., La Scola,B.","IHU Mediterranee Infection, IHU Mediterranee Infection",France,7/17/2023,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-087188,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29675,GenBank,complete,,France,France,,Homo sapiens,oronasopharynx,2022-06
OX839281,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BQ.1.25,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/12/2022
OY330054,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,7/18/2023,XBB.1.5.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,4/19/2023
OD938490,Severe acute respiratory syndrome coronavirus 2,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,4/29/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/5/2021
OY667159,Severe acute respiratory syndrome coronavirus 2,,"Yourgene Health, Citylabs 1.0, Nelson Street, Manchester, M13 9NQ",,8/2/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29788,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,12/25/2021
OD944390,Severe acute respiratory syndrome coronavirus 2,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,4/29/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/10/2021
OX516367,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,5/2/2023,AY.4.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Northern_Ireland,United Kingdom,,Homo sapiens,,12/1/2021
OX708643,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/6/2022
ON999156,Severe acute respiratory syndrome coronavirus 2,"Benton,C.","Association of Public Health Laboratories, Infectious Diseases",USA,7/16/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,2205250269,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29762,GenBank,complete,,USA: New Hampshire,USA,NH,Homo sapiens,,5/25/2022
OY889789,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,12/6/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/13/2022
OX719624,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29572,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020
ON766290,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/15/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,WI-CDC-STM-N73CCHWWM,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,GenBank,complete,,USA: Wisconsin,USA,WI,Homo sapiens,oronasopharynx,6/4/2022
OP193822,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/10/2022,BA.4.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,PA-CDC-QDX39569472,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29709,GenBank,complete,,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,7/30/2022
OQ287515,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/19/2023,BA.5.2.23,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-QDX43292964,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,11/3/2022
OX745447,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/18/2022
OY631766,Severe acute respiratory syndrome coronavirus 2,,"Suite 2, The Newnham Building, Chesterford Research Park, CB10 1XL",,8/8/2023,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29746,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/22/2022
OU798887,Severe acute respiratory syndrome coronavirus 2,,"Quadram Institute Bioscience, Norwich Research Park Norwich Nr4 7Uq",,10/13/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/23/2021
OD946239,Severe acute respiratory syndrome coronavirus 2,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,4/29/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29827,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,1/15/2021
OR499182,Severe acute respiratory syndrome coronavirus 2,"Ritter,J., Mozer,M., Gibson,D., Dixon,J.","Montana Department of Public Health, Laboratory",USA,8/30/2023,B.1.427,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,MT-MTPHL-3747262,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29714,GenBank,complete,,USA,USA,,Homo sapiens,,3/5/2021
OP394998,Severe acute respiratory syndrome coronavirus 2,"Atkins,L.M., Johnson,A.N., Ware,G.L., Mijalis,A., Kamil,J.P., Carroll,J.L., Van Diest,M., Scott,R.S., Yurochko,A.D., Queen,K., Kevil,C.G., Vanchiere,J.A., Bocchini,J.A.","LSUHS, Center for Emerging Viral Threats",USA,9/9/2022,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,LA-EVTL15076,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29798,GenBank,complete,,USA,USA,,Homo sapiens,,7/9/2022
OM968006,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,3/11/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,VA-CDC-MMB14376331,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29770,GenBank,complete,,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2/15/2022
OY399557,Severe acute respiratory syndrome coronavirus 2,,Edinburgh,United Kingdom,7/22/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,10/9/2021
ON727668,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/10/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-LC0672771,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29693,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,5/25/2022
OM033900,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,12/28/2021,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,RI-CDC-ASC210609444,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29810,GenBank,complete,,USA: Rhode Island,USA,RI,Homo sapiens,,12/9/2021
OV077634,Severe acute respiratory syndrome coronavirus 2,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,11/26/2021,AY.122,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,RNA,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,GenBank,complete,,Slovakia,Slovakia,,Homo sapiens,,11/1/2021
OX888911,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BQ.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29885,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,10/19/2022
OM353313,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/24/2022,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-ASC210563531,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29793,GenBank,complete,,USA: Illinois,USA,IL,Homo sapiens,,12/30/2021
OD946026,Severe acute respiratory syndrome coronavirus 2,"Howes,R., The Lighthouse Lab in,Cambridge., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,4/29/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/18/2021
OQ414403,Severe acute respiratory syndrome coronavirus 2,"Novack,A., Byrum,S.D., Bird,J.T., Thurman,T.J., Kennedy,J.L.","University of Arkansas for Medical Sciences, Department of Biomedical Informatics",USA,2/9/2023,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,B016535,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29800,GenBank,complete,,USA: AR,USA,AR,Homo sapiens,oronasopharynx,5/19/2022
PP106612,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/11/2024,BA.2.86,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-LC1079027,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29723,GenBank,complete,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,12/20/2023
OP230067,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/16/2022,BF.10,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,MD-CDC-QDX39657948,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Maryland,USA,MD,Homo sapiens,oronasopharynx,8/1/2022
OX574097,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,5/5/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,6/28/2021
ON143502,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,4/4/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-KMWS5XHJP,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,3/19/2022
